group,scenario_idx,drone_idx,station_idx,bandwidth_hz,sinr_db,rate_bps,p_prop_w,p_tx_w,ee_bpj
random,0.0,0.0,0.0,20000000.0,-4.338377602535871,9046985.5387556,141.2510983200944,0.1,64003.645152218
random,0.0,0.0,1.0,20000000.0,3.874576695484052,35651368.48418962,141.2510983200944,0.1,252218.54593203004
random,0.0,0.0,2.0,20000000.0,-7.3651946053504105,4859592.226448711,141.2510983200944,0.1,34379.58589783291
random,0.0,0.0,3.0,20000000.0,-0.5387615378650137,18265743.24823075,141.2510983200944,0.1,129222.50668945884
random,0.0,1.0,0.0,20000000.0,-6.478673965318734,5855025.90468075,126.5443715039885,0.1,46232.02622547149
random,0.0,1.0,1.0,20000000.0,-2.4629299665958513,12963083.490851264,126.5443715039885,0.1,102358.14933506942
random,0.0,1.0,2.0,20000000.0,-4.800150936995948,8252804.330661853,126.5443715039885,0.1,65165.18841425134
random,0.0,1.0,3.0,20000000.0,1.1105644389205056,23924424.078310452,126.5443715039885,0.1,188910.28313529896
random,0.0,2.0,0.0,20000000.0,-1.2780584907013828,16065615.165906295,126.01519819783883,0.1,127388.41468340653
random,0.0,2.0,1.0,20000000.0,14.551573519299652,97672918.96553293,126.01519819783883,0.1,774473.8172818151
random,0.0,2.0,2.0,20000000.0,-5.039940927253738,7864651.616700635,126.01519819783883,0.1,62360.85522668915
random,0.0,2.0,3.0,20000000.0,3.5067671640216957,33939570.57817479,126.01519819783883,0.1,269115.6265316514
random,0.0,3.0,0.0,20000000.0,-3.063870541165869,11581098.728853345,165.07881315056164,0.1,70112.49510733009
random,0.0,3.0,1.0,20000000.0,-1.930520158527855,14293839.420642331,165.07881315056164,0.1,86535.54985658723
random,0.0,3.0,2.0,20000000.0,20.153820673290483,134176249.02760392,165.07881315056164,0.1,812309.0756518594
random,0.0,3.0,3.0,20000000.0,1.2394269844513703,24410052.531115882,165.07881315056164,0.1,147779.56122536096
random,0.0,4.0,0.0,20000000.0,-4.610269745235044,8571808.010289233,168.455142112228,0.1,50854.62183397479
random,0.0,4.0,1.0,20000000.0,2.957633929843368,31466451.779500227,168.455142112228,0.1,186683.42825488598
random,0.0,4.0,2.0,20000000.0,-7.455100074688531,4767812.717034105,168.455142112228,0.1,28286.367637835592
random,0.0,4.0,3.0,20000000.0,18.213973953549655,121443090.94329324,168.455142112228,0.1,720494.7260667584
random,0.0,5.0,0.0,20000000.0,13.724103269242875,92379753.22889158,133.00898724334226,0.1,694015.8973639262
random,0.0,5.0,1.0,20000000.0,-7.499966260712483,4722609.910596785,133.00898724334226,0.1,35479.27159841716
random,0.0,5.0,2.0,20000000.0,20.94466156675884,139384524.39476487,133.00898724334226,0.1,1047145.856049149
random,0.0,5.0,3.0,20000000.0,-6.390486440645873,5963526.742018562,133.00898724334226,0.1,44801.833937150936
random,1.0,0.0,0.0,20000000.0,-3.1733528207882244,11342650.143494181,139.15460671873453,0.1,81452.60261589756
random,1.0,0.0,1.0,20000000.0,16.951243904288233,113198041.3352187,139.15460671873453,0.1,812885.4333979436
random,1.0,0.0,2.0,20000000.0,18.803592493810143,125305937.15202561,139.15460671873453,0.1,899833.3348146799
random,1.0,0.0,3.0,20000000.0,0.5457606510123727,21869897.628616408,139.15460671873453,0.1,157049.72455804693
random,1.0,1.0,0.0,20000000.0,24.92069591025762,165662295.969534,168.22949305448148,0.1,984154.9033591861
random,1.0,1.0,1.0,20000000.0,18.854321392198045,125638616.21315672,168.22949305448148,0.1,746385.044791245
random,1.0,1.0,2.0,20000000.0,-2.321905858891114,13305690.386316216,168.22949305448148,0.1,79045.50857293737
random,1.0,1.0,3.0,20000000.0,-1.4066605060465065,15703909.279686326,168.22949305448148,0.1,93292.67851239594
random,1.0,2.0,0.0,20000000.0,-3.3833668277331412,10896476.010169337,150.71622631047637,0.1,72250.0242628894
random,1.0,2.0,1.0,20000000.0,-0.34815133123385056,18866638.432629403,150.71622631047637,0.1,125096.87381906626
random,1.0,2.0,2.0,20000000.0,17.927677794363973,119570188.89653301,150.71622631047637,0.1,792820.453220869
random,1.0,2.0,3.0,20000000.0,4.228314665692324,37337942.44975219,150.71622631047637,0.1,247572.44868921992
random,1.0,3.0,0.0,20000000.0,17.669474704088586,117882742.50984523,128.11198341219972,0.1,919436.2287560429
random,1.0,3.0,1.0,20000000.0,12.766786747938639,86307615.20809714,128.11198341219972,0.1,673163.4041618356
random,1.0,3.0,2.0,20000000.0,0.9736464052868855,23415284.375973534,128.11198341219972,0.1,182629.45282340518
random,1.0,3.0,3.0,20000000.0,-5.848915603606017,6670326.948372291,128.11198341219972,0.1,52025.76834746628
random,1.0,4.0,0.0,20000000.0,-4.867447468005551,8142230.557842457,127.03020122827418,0.1,64046.390858945626
random,1.0,4.0,1.0,20000000.0,-6.333282544104165,6034871.730047438,127.03020122827418,0.1,47470.008477460535
random,1.0,4.0,2.0,20000000.0,22.998928062974485,152945856.9742579,127.03020122827418,0.1,1203064.6966382856
random,1.0,4.0,3.0,20000000.0,-4.776418958407859,8292106.210584796,127.03020122827418,0.1,65225.30547792922
random,1.0,5.0,0.0,20000000.0,20.101351854770257,133831006.24129067,128.6595305158943,0.1,1039387.1871470544
random,1.0,5.0,1.0,20000000.0,14.437704787673766,96942345.90778698,128.6595305158943,0.1,752894.5276467925
random,1.0,5.0,2.0,20000000.0,1.8080770077863237,26626982.12627266,128.6595305158943,0.1,206796.20389720032
random,1.0,5.0,3.0,20000000.0,-4.216210802057333,9267697.332561454,128.6595305158943,0.1,71976.78723609072
random,2.0,0.0,0.0,20000000.0,-4.962081096403154,7988910.690937747,161.21640014718386,0.1,49523.23932128864
random,2.0,0.0,1.0,20000000.0,4.608490558166011,39192995.05271927,161.21640014718386,0.1,242957.28777086447
random,2.0,0.0,2.0,20000000.0,-6.253006766040386,6136286.019315561,161.21640014718386,0.1,38038.823168114715
random,2.0,0.0,3.0,20000000.0,4.290074446731438,37636349.70598355,161.21640014718386,0.1,233307.64678386346
random,2.0,1.0,0.0,20000000.0,0.7518436157949111,22605529.56034422,150.38269600844077,0.1,150220.12603413383
random,2.0,1.0,1.0,20000000.0,-4.791484080583729,8267138.587535709,150.38269600844077,0.1,54937.469933898545
random,2.0,1.0,2.0,20000000.0,6.601373246763245,49565600.7445155,150.38269600844077,0.1,329377.4105544687
random,2.0,1.0,3.0,20000000.0,-4.148202285531994,9392531.868572801,150.38269600844077,0.1,62416.02601302386
random,2.0,2.0,0.0,20000000.0,20.00290774781621,133183357.10290238,168.14387588212773,0.1,791608.9450781028
random,2.0,2.0,1.0,20000000.0,13.450121096208989,90635818.42770848,168.14387588212773,0.1,538716.8950577925
random,2.0,2.0,2.0,20000000.0,-2.4919709708607916,12893405.110937923,168.14387588212773,0.1,76635.21208921203
random,2.0,2.0,3.0,20000000.0,-5.856870678334531,6659426.136534901,168.14387588212773,0.1,39581.982414626014
random,2.0,3.0,0.0,20000000.0,-7.4973655331694005,4725219.345679984,130.58203496877218,0.1,36158.14022799021
random,2.0,3.0,1.0,20000000.0,-4.687836310101474,8440235.096180832,130.58203496877218,0.1,64586.03968171841
random,2.0,3.0,2.0,20000000.0,13.646610122599881,91886032.41551596,130.58203496877218,0.1,703126.7338121348
random,2.0,3.0,3.0,20000000.0,-2.157724615722728,13713488.211659009,130.58203496877218,0.1,104937.822669627
random,2.0,4.0,0.0,20000000.0,20.965506786952275,139521914.3662497,127.76310454483776,0.1,1091181.9704590668
random,2.0,4.0,1.0,20000000.0,15.680711534568573,104950103.66618764,127.76310454483776,0.1,820800.5275625448
random,2.0,4.0,2.0,20000000.0,5.235559814798606,42344161.80438095,127.76310454483776,0.1,331167.94680620416
