group,scenario_idx,drone_idx,station_idx,bandwidth_hz,sinr_db,rate_bps,p_prop_w,p_tx_w,ee_bpj
gan,0.0,0.0,0.0,20000000.0,-1.7651839784527543,14727963.837648587,127.0236919550942,0.1,115855.38156688501
gan,0.0,0.0,1.0,20000000.0,19.71192166498149,131269864.61786993,127.0236919550942,0.1,1032615.2631268792
gan,0.0,0.0,2.0,20000000.0,-1.0231838070320265,16800790.67862367,127.0236919550942,0.1,132160.9718868019
gan,0.0,0.0,3.0,20000000.0,3.871293689385979,35635898.30668583,127.0236919550942,0.1,280324.6016428946
gan,0.0,1.0,0.0,20000000.0,0.4134027754122515,21405962.764812764,126.64152494358613,0.1,168894.6284522043
gan,0.0,1.0,1.0,20000000.0,19.093825605962948,127209945.00315177,126.64152494358613,0.1,1003695.8688935938
gan,0.0,1.0,2.0,20000000.0,1.3294128691401994,24752862.952025533,126.64152494358613,0.1,195301.91831795673
gan,0.0,1.0,3.0,20000000.0,1.9519438271627367,27206751.46533828,126.64152494358613,0.1,214663.28006900867
gan,0.0,2.0,0.0,20000000.0,20.557023554651224,136830604.59066945,126.10878201361908,0.1,1084160.7248527617
gan,0.0,2.0,1.0,20000000.0,17.66043238727447,117823677.84658223,126.10878201361908,0.1,933561.6425952672
gan,0.0,2.0,2.0,20000000.0,2.7755334373222666,30668837.25487588,126.10878201361908,0.1,243000.81789527478
gan,0.0,2.0,3.0,20000000.0,-0.22137795308996977,19273968.9633725,126.10878201361908,0.1,152714.95894233938
gan,0.0,3.0,0.0,20000000.0,1.7798775178489161,26514228.05491563,127.31628745972706,0.1,208091.35616430576
gan,0.0,3.0,1.0,20000000.0,20.61577512336183,137217560.7207328,127.31628745972706,0.1,1076923.236867215
gan,0.0,3.0,2.0,20000000.0,-0.0884739774986089,19707592.628281515,127.31628745972706,0.1,154670.90606066017
gan,0.0,3.0,3.0,20000000.0,2.5616871281555973,29746828.12899404,127.31628745972706,0.1,233461.7396413801
gan,0.0,4.0,0.0,20000000.0,0.9989217566702563,23508740.503454026,126.75517491499197,0.1,185319.52298522842
gan,0.0,4.0,1.0,20000000.0,18.6840323518756,124522065.09037235,126.75517491499197,0.1,981608.0831847572
gan,0.0,4.0,2.0,20000000.0,1.4169185004040803,25089126.14973745,126.75517491499197,0.1,197777.71120926004
gan,0.0,4.0,3.0,20000000.0,1.0410043732306635,23664876.697721384,126.75517491499197,0.1,186550.34541223614
gan,0.0,5.0,0.0,20000000.0,-1.2962460048830167,16014085.800142866,126.00797104753933,0.1,126987.10214048234
gan,0.0,5.0,1.0,20000000.0,18.818386093639987,125402948.0800196,126.00797104753933,0.1,994409.370306545
gan,0.0,5.0,2.0,20000000.0,0.6783056321201288,22341175.850451857,126.00797104753933,0.1,177159.10949062713
gan,0.0,5.0,3.0,20000000.0,2.566109458489535,29765733.473225936,126.00797104753933,0.1,236033.7195656336
gan,1.0,0.0,0.0,20000000.0,-3.181637632301431,11324770.285919854,126.90158805957918,0.1,89170.30455246875
gan,1.0,0.0,1.0,20000000.0,18.214639253316307,121447445.408524,126.90158805957918,0.1,956267.1401522192
gan,1.0,0.0,2.0,20000000.0,18.17126485940821,121163575.71047668,126.90158805957918,0.1,954031.9736288356
gan,1.0,0.0,3.0,20000000.0,2.8197856747843844,30861616.235926993,126.90158805957918,0.1,243001.81365802407
gan,1.0,1.0,0.0,20000000.0,0.6516817588867814,22245975.276884057,126.85177761354987,0.1,175231.69580659491
gan,1.0,1.0,1.0,20000000.0,19.01034325694917,126662114.93798277,126.85177761354987,0.1,997718.3251702953
gan,1.0,1.0,2.0,20000000.0,0.7855991367004832,22727561.198663734,126.85177761354987,0.1,179025.15132831008
gan,1.0,1.0,3.0,20000000.0,1.4235531614299648,25114737.993761107,126.85177761354987,0.1,197828.9588839956
gan,1.0,2.0,0.0,20000000.0,1.7751614152115853,26495399.446068235,127.39636267152558,0.1,207812.98298155755
gan,1.0,2.0,1.0,20000000.0,17.76285512171208,118492826.16824652,127.39636267152558,0.1,929382.0128306306
gan,1.0,2.0,2.0,20000000.0,2.4215380122434738,29151261.041524492,127.39636267152558,0.1,228643.86426950982
gan,1.0,2.0,3.0,20000000.0,-0.21934324498153054,19280556.674774073,127.39636267152558,0.1,151224.36648994772
gan,1.0,3.0,0.0,20000000.0,-0.054865079471895305,19818317.769996684,126.04158480454106,0.1,157111.69160198493
gan,1.0,3.0,1.0,20000000.0,20.312367597548317,135219722.01065928,126.04158480454106,0.1,1071967.838521967
gan,1.0,3.0,2.0,20000000.0,-0.0667146725649701,19779229.76227709,126.04158480454106,0.1,156801.81752056952
gan,1.0,3.0,3.0,20000000.0,3.4570478834242664,33711530.180886775,126.04158480454106,0.1,267251.51926007174
gan,1.0,4.0,0.0,20000000.0,2.5534640236684254,29711692.828678947,129.4018567837698,0.1,229430.6318579569
gan,1.0,4.0,1.0,20000000.0,18.515991076104598,123420825.24323127,129.4018567837698,0.1,953042.9007617083
gan,1.0,4.0,2.0,20000000.0,0.7876387539825201,22734948.593741104,129.4018567837698,0.1,175556.93144772292
gan,1.0,4.0,3.0,20000000.0,0.08302796148876723,20277131.138432395,129.4018567837698,0.1,156577.9182015071
gan,1.0,5.0,0.0,20000000.0,-1.0053863419021238,16853039.89716091,126.83310539040471,0.1,132771.03593523905
gan,1.0,5.0,1.0,20000000.0,19.94406745162351,132796324.68961251,126.83310539040471,0.1,1046191.4114617653
gan,1.0,5.0,2.0,20000000.0,0.17028530001636008,20571220.1504082,126.83310539040471,0.1,162063.47498659123
gan,1.0,5.0,3.0,20000000.0,4.128123072741801,36856315.75502146,126.83310539040471,0.1,290360.1518426851
gan,2.0,0.0,0.0,20000000.0,-0.8089609504125974,17437650.802065182,126.95397185172774,0.1,137246.010871781
gan,2.0,0.0,1.0,20000000.0,19.432412589905795,129433118.94089937,126.95397185172774,0.1,1018725.4837806103
gan,2.0,0.0,2.0,20000000.0,0.6001851409481561,22062600.825555827,126.95397185172774,0.1,173647.47047265025
gan,2.0,0.0,3.0,20000000.0,3.176630944491365,32440651.873969335,126.95397185172774,0.1,255329.69494119906
gan,2.0,1.0,0.0,20000000.0,0.583880586785668,22004752.240307633,126.30603152670525,0.1,174079.9230427449
gan,2.0,1.0,1.0,20000000.0,19.023189451962693,126746406.13538347,126.30603152670525,0.1,1002692.7086039111
gan,2.0,1.0,2.0,20000000.0,1.1854878171481433,24206019.87375282,126.30603152670525,0.1,191494.18410971094
gan,2.0,1.0,3.0,20000000.0,1.668413194930807,26071403.19865782,126.30603152670525,0.1,206251.25940410388
gan,2.0,2.0,0.0,20000000.0,0.7908090532712606,22746434.396938063,126.60657090442916,0.1,179520.55867801042
gan,2.0,2.0,1.0,20000000.0,19.190440455476903,127844113.36314031,126.60657090442916,0.1,1008977.7700603165
gan,2.0,2.0,2.0,20000000.0,1.0403299266084218,23662369.078975275,126.60657090442916,0.1,186749.34464782468
gan,2.0,2.0,3.0,20000000.0,1.7398436391228531,26354655.963747505,126.60657090442916,0.1,207997.54721186485
gan,2.0,3.0,0.0,20000000.0,0.5266873380982279,21802630.873130836,127.91323028281356,0.1,170315.4496216002
gan,2.0,3.0,1.0,20000000.0,20.105333157174655,133857201.64758962,127.91323028281356,0.1,1045651.3076958159
gan,2.0,3.0,2.0,20000000.0,0.524335524947915,21794346.22172923,127.91323028281356,0.1,170250.7324717923
gan,2.0,3.0,3.0,20000000.0,3.0534187967245288,31890549.276096888,127.91323028281356,0.1,249119.1668676949
gan,2.0,4.0,0.0,20000000.0,0.24175178021602017,20814256.5595861,126.74216089418285,0.1,164095.72663264736
gan,2.0,4.0,1.0,20000000.0,19.45562822294042,129585626.89934762,126.74216089418285,0.1,1021628.975616818
