x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
250.86609727618213,68.41802652986786,29.936,-19.152778127098806,-19.152778127098806,1742893.1765596091,1.0,-34.09787765982798,-53.250633524578944,9248.932897602192
250.86609727618213,45.61201768657857,29.936,-15.192090114862914,-15.192090114862914,4300086.349678384,1.0,-38.65516176718292,-53.84718830544429,22819.07499378537
273.67210611947144,57.01502210822321,29.936,-14.838306971456376,-14.838306971456376,4659208.663431743,1.0,-37.84044608819664,-52.67870035775151,24724.813237877268
239.46309285453748,34.20901326493393,29.936,-14.132688442351522,-14.132688442351522,5465789.334687213,1.0,-40.44475666351157,-54.577349109412,29005.058639761563
285.07511054111603,45.61201768657857,29.936,-12.709544548002398,-12.709544548002398,7530710.135901481,1.0,-39.88208973417903,-52.59154995082842,39962.88106178338
228.06008843289283,79.8210309515125,29.936,-11.85054422785683,-11.85054422785683,9126636.305260796,1.0,-42.038592968259806,-53.888998636497746,48431.910746705544
273.67210611947144,68.41802652986786,29.936,-11.607864989298243,-11.607864989298243,9634001.993320407,1.0,-40.75653399236504,-52.36429584037457,51124.32544344104
273.67210611947144,45.61201768657857,29.936,-11.054179486388435,-11.054179486388435,10895665.751446614,1.0,-41.95091857766958,-53.004962273560494,57819.53981181676
228.06008843289283,68.41802652986786,29.936,-11.04232113199248,-11.04232113199248,10924356.861397948,1.0,-43.10642603437613,-54.14856998499852,57971.793635669244
250.86609727618213,57.01502210822321,29.936,-10.87835579976074,-10.87835579976074,11328597.556085935,1.0,-42.6649532721523,-53.543149016032245,60116.95956432902
228.06008843289283,22.806008843289284,29.936,-10.800645114525892,-10.800645114525892,11525172.576313622,1.0,-44.496861190938795,-55.29726226703127,61160.11539044772
182.44807074631427,45.61201768657857,29.936,-9.78125828963283,-9.78125828963283,14426270.948296612,1.0,-46.641714975394315,-56.42257337938197,76555.24375097001
182.44807074631427,0.0,29.936,-9.596726982446583,-9.596726982446583,15020933.95743746,1.0,-47.87864791167567,-57.47484324815993,79710.91521850461
216.6570840112482,57.01502210822321,29.936,-9.554129840826732,-9.554129840826732,15161474.141202042,1.0,-45.30701388193524,-54.860849639033916,80456.7134960681
262.2691016978268,68.41802652986786,29.936,-9.345184891383752,-9.345184891383752,15869081.236592352,1.0,-43.46050996359844,-52.80550262297706,84211.74027060108
285.07511054111603,22.806008843289284,29.936,-9.234357197291438,-9.234357197291438,16256980.123432498,1.0,-44.063962574387446,-53.29809888500057,86270.18586192581
285.07511054111603,68.41802652986786,29.936,-9.169742361487579,-9.169742361487579,16487249.655023897,1.0,-42.75846304733332,-51.92804186940623,87492.14683732831
319.28412380605,285.07511054111603,29.936,-9.128584193746498,-9.128584193746498,16635527.679498388,1.0,-38.76270927926181,-47.8912283023691,88279.00716646259
205.25407958960355,45.61201768657857,29.936,-9.080049225766047,-9.080049225766047,16811998.129980344,1.0,-46.48407944870463,-55.5637430425509,89215.47497577438
216.6570840112482,68.41802652986786,29.936,-8.820650546983487,-8.820650546983487,17785445.30302578,1.0,-45.779045338344375,-54.59936803739279,94381.22334403064
285.07511054111603,57.01502210822321,29.936,-8.45476914000907,-8.45476914000907,19248781.395764515,1.0,-43.79926805400525,-52.25382936760926,102146.64322770706
182.44807074631427,34.20901326493393,29.936,-8.339952661702632,-8.339952661702632,19730730.074892394,1.0,-48.33466458815505,-56.67402674803199,104704.17862533865
262.2691016978268,22.806008843289284,29.936,-8.111690990472553,-8.111690990472553,20722479.6480426,1.0,-45.973287873112994,-54.08463602005692,109967.05151775436
228.06008843289283,102.62703979480177,29.936,-8.104136551654875,-8.104136551654875,20756081.99845464,1.0,-45.30602161585287,-53.409864150961326,110145.36760065748
307.88111938440534,57.01502210822321,29.936,-8.0442640144814,-8.0442640144814,21024193.63119053,1.0,-43.38007469310512,-51.424150003048055,111568.1435536483
