index,value
0,42.0391845703125
1,10.0283203125
2,208.77436745365864
3,214.1299655386535
4,7.0
5,4.0
6,1.0
7,6.0
8,7.0
9,7.0
10,3.0
11,5.0
12,21.900634765625
13,59.23126220703125
14,46.49505615234375
15,36.95037841796875
16,53.77105712890625
17,48.9752197265625
18,0.70281982421875
19,5.4730224609375
20,0.0
21,1.0
22,1.0
23,0.0
24,1.0
25,-0.0
26,1.0
27,1.0
28,219.35402261805197
29,426.7941884435189
30,238.46505157398093
31,603.99871455405
32,184.89027915180446
33,96.19405823539861
34,185.88623247989122
35,466.2189069779722
36,71.6898480500187
37,97.24638628016953
38,179.8165546502304
39,470.2966781514595
40,170.4395601084324
41,493.76735186429653
42,607.6818627107483
43,488.4869200682139
