index,value
0,79.5753146396023
1,10.733807026759402
2,484.99412333087184
3,373.86882469266203
4,4.0
5,1.0
6,5.0
7,1.0
8,3.0
9,1.0
10,7.0
11,4.0
12,33.81267363538659
13,53.05033583843649
14,53.38524767816354
15,46.07066622418929
16,26.74383552626601
17,4.945084125621583
18,33.56959398858185
19,11.127178410845138
20,1.0
21,1.0
22,0.0
23,0.0
24,1.0
25,0.0
26,0.0
27,0.0
28,553.0069212484746
29,355.06948161999
30,611.004049037054
31,147.18820285266858
32,45.391630341960266
33,562.3801164459727
34,292.24935754533624
35,286.9854401051156
36,472.15092827081713
37,260.72238624895624
38,543.8809486134585
39,188.2138004402466
40,231.63597155387012
41,458.25679836647504
42,300.3514704797983
43,52.77925515164142
