index,value
0,41.050047278404236
1,9.354575157165527
2,275.6908994352384
3,342.3823064916479
4,3.0
5,4.0
6,3.0
7,3.0
8,4.0
9,4.0
10,4.0
11,4.0
12,32.71804064512253
13,35.45463740825653
14,38.616926074028015
15,34.97736096382141
16,37.146223187446594
17,38.49920392036438
18,36.46481990814209
19,36.20271861553192
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,1.0
26,0.0
27,0.0
28,311.00794049059056
29,267.9504784142628
30,314.47039154914665
31,315.16982078990117
32,285.2190170921053
33,266.4794481749824
34,322.2782631530698
35,281.5007625340853
36,240.8229738593442
37,397.8184510672835
38,357.63806926874435
39,319.4399953241233
40,320.25617299656676
41,315.2879599552591
42,278.2922118657618
43,252.33178904693344
