group,scenario_idx,drone_idx,station_idx,bandwidth_hz,sinr_db,rate_bps,p_prop_w,p_tx_w,ee_bpj
ga,0.0,0.0,0.0,20000000.0,-6.393430163983936,5959875.935261261,144.72559129196267,0.1,41152.09116078378
ga,0.0,0.0,1.0,20000000.0,-3.0347193970891624,11645271.560399981,144.72559129196267,0.1,80408.93502670791
ga,0.0,0.0,2.0,20000000.0,14.820919520309417,99403577.88067774,144.72559129196267,0.1,686367.4920565942
ga,0.0,0.0,3.0,20000000.0,0.41805574960201874,21422158.8509004,144.72559129196267,0.1,147916.9438204756
ga,0.0,1.0,0.0,20000000.0,-3.5966017733306472,10458340.33550901,132.3730180928538,0.1,78946.94697888203
ga,0.0,1.0,1.0,20000000.0,-3.355120751390487,10955632.331640761,132.3730180928538,0.1,82700.85855492228
ga,0.0,1.0,2.0,20000000.0,3.3070324326871376,33028399.708849538,132.3730180928538,0.1,249321.71233314145
ga,0.0,1.0,3.0,20000000.0,-0.5780314327353863,18143666.385878768,132.3730180928538,0.1,136961.2215912632
ga,0.0,2.0,0.0,20000000.0,-7.6480676025191485,4576184.077691899,135.94473217727213,0.1,33637.34857244553
ga,0.0,2.0,1.0,20000000.0,-5.05834093784253,7835533.126983776,135.94473217727213,0.1,57595.270331920976
ga,0.0,2.0,2.0,20000000.0,-5.132391112770819,7719293.83944581,135.94473217727213,0.1,56740.85071803617
ga,0.0,2.0,3.0,20000000.0,-2.449096783256863,12996378.317752892,135.94473217727213,0.1,95530.18415162193
ga,0.0,3.0,0.0,20000000.0,-2.0885545396321272,13888193.11554939,131.08421253943098,0.1,105867.86966743362
ga,0.0,3.0,1.0,20000000.0,-5.180298109499688,7644896.10014123,131.08421253943098,0.1,58276.03758221553
ga,0.0,3.0,2.0,20000000.0,35.540436149797074,236133602.34564397,131.08421253943098,0.1,1800015.396476673
ga,0.0,3.0,3.0,20000000.0,-3.906295739902788,9848142.728564944,131.08421253943098,0.1,75071.09687916767
ga,0.0,4.0,0.0,20000000.0,-6.113043629663366,6316766.772651858,142.58681945785702,0.1,44270.14910453964
ga,0.0,4.0,1.0,20000000.0,-4.194225453241074,9307898.337766163,142.58681945785702,0.1,65233.06338407297
ga,0.0,4.0,2.0,20000000.0,-2.133159563671541,13775335.432258226,142.58681945785702,0.1,96542.4520961224
ga,0.0,4.0,3.0,20000000.0,-1.0821611976944605,16628500.415064748,142.58681945785702,0.1,116538.4474771058
ga,0.0,5.0,0.0,20000000.0,15.963461676097637,106780740.51407906,129.0454944424963,0.1,826825.132189374
ga,0.0,5.0,1.0,20000000.0,14.457325880780814,97068186.35076708,129.0454944424963,0.1,751618.8371092415
ga,0.0,5.0,2.0,20000000.0,23.699596726716294,157579546.8373731,129.0454944424963,0.1,1220170.6882429216
ga,0.0,5.0,3.0,20000000.0,-2.7819885206596666,12213784.165673243,129.0454944424963,0.1,94573.83099889394
ga,1.0,0.0,0.0,20000000.0,-3.210808257123162,11261998.856884787,148.02663745954914,0.1,76029.53155512118
ga,1.0,0.0,1.0,20000000.0,19.70702778942517,131237694.37166643,148.02663745954914,0.1,885983.0792250666
