group,scenario_idx,drone_idx,station_idx,bandwidth_hz,sinr_db,rate_bps,p_prop_w,p_tx_w,ee_bpj
gan,0.0,0.0,0.0,20000000.0,0.5914918080387962,22031744.27172407,127.33883147502675,0.1,172880.9344586738
gan,0.0,0.0,1.0,20000000.0,18.350694206152042,122338147.29169543,127.33883147502675,0.1,959975.4319441413
gan,0.0,0.0,2.0,20000000.0,-0.9586766568966423,16990737.34477009,127.33883147502675,0.1,133324.6479751318
gan,0.0,0.0,3.0,20000000.0,0.18374784698121982,20616853.053966623,127.33883147502675,0.1,161778.4219718521
gan,0.0,1.0,0.0,20000000.0,0.6788187734692884,22343013.36769565,126.29205625154927,0.1,176775.4559133678
gan,0.0,1.0,1.0,20000000.0,18.364434286684144,122428121.12282102,126.29205625154927,0.1,968637.7827350233
gan,0.0,1.0,2.0,20000000.0,-0.7172823650557231,17715512.338509146,126.29205625154927,0.1,140163.17847738153
gan,0.0,1.0,3.0,20000000.0,0.23718032340144612,20798651.9422534,126.29205625154927,0.1,164556.63875630996
gan,0.0,2.0,0.0,20000000.0,0.4233560544502946,21440618.23225099,127.01823412488542,0.1,168666.7406910874
gan,0.0,2.0,1.0,20000000.0,18.984702368668763,126493879.73085773,127.01823412488542,0.1,995088.396260962
gan,0.0,2.0,2.0,20000000.0,-2.143136043244453,13750191.53399372,127.01823412488542,0.1,108168.52223171263
gan,0.0,2.0,3.0,20000000.0,0.4701915712344369,21604198.126124542,127.01823412488542,0.1,169953.5733394457
gan,0.0,3.0,0.0,20000000.0,-0.4472241916744368,18552583.42857862,127.63563148252528,0.1,145242.03789697227
gan,0.0,3.0,1.0,20000000.0,18.361573182635723,122409385.48812373,127.63563148252528,0.1,958302.5821958676
gan,0.0,3.0,2.0,20000000.0,0.7462387368827451,22585308.88533357,127.63563148252528,0.1,176812.91134825858
gan,0.0,3.0,3.0,20000000.0,1.3378633366932746,24785211.415742803,127.63563148252528,0.1,194035.22046339526
gan,0.0,4.0,0.0,20000000.0,0.36291846245067877,21230767.99299193,127.9096265380059,0.1,165852.90159165132
gan,0.0,4.0,1.0,20000000.0,19.169708268663115,127708015.47791469,127.9096265380059,0.1,997643.8407934761
gan,0.0,4.0,2.0,20000000.0,0.37749864325387233,21281265.41485477,127.9096265380059,0.1,166247.3830320596
gan,0.0,4.0,3.0,20000000.0,1.8213575320399826,26680184.48338308,127.9096265380059,0.1,208423.26631944175
gan,0.0,5.0,0.0,20000000.0,-0.7499546159140495,17616122.681874897,126.09273184999482,0.1,139596.96746097205
gan,0.0,5.0,1.0,20000000.0,20.078457479953244,133680374.76177126,126.09273184999482,0.1,1059334.9775538342
gan,0.0,5.0,2.0,20000000.0,-1.3682588241853466,15811271.207296327,126.09273184999482,0.1,125294.62652485541
gan,0.0,5.0,3.0,20000000.0,3.0593815438227234,31917052.981351122,126.09273184999482,0.1,252923.06865415114
gan,1.0,0.0,0.0,20000000.0,1.0745169302186355,23789693.590136696,128.3466767115125,0.1,185210.6586110255
gan,1.0,0.0,1.0,20000000.0,17.175864886696786,114661609.95169087,128.3466767115125,0.1,892678.6810469027
gan,1.0,0.0,2.0,20000000.0,-0.543295027815958,18251620.1648197,128.3466767115125,0.1,142094.9193244782
gan,1.0,0.0,3.0,20000000.0,-1.1795841603982922,16346767.199487802,128.3466767115125,0.1,127265.00691179553
gan,1.0,1.0,0.0,20000000.0,2.8087943507927093,30813670.883537948,126.0529390796118,0.1,244256.4644815152
gan,1.0,1.0,1.0,20000000.0,17.90047576278201,119392337.5915077,126.0529390796118,0.1,946409.4809250726
gan,1.0,1.0,2.0,20000000.0,-1.0598020592056798,16693663.740678217,126.0529390796118,0.1,132328.77380798306
gan,1.0,1.0,3.0,20000000.0,-1.065664457302489,16676560.190282343,126.0529390796118,0.1,132193.19590927806
gan,1.0,2.0,0.0,20000000.0,0.2532647597976594,20853591.371354155,127.31465803653498,0.1,163667.1297691242
gan,1.0,2.0,1.0,20000000.0,18.799014363330045,125275916.34408209,127.31465803653498,0.1,983214.3198795886
gan,1.0,2.0,2.0,20000000.0,-2.5606664213752452,12729766.156153344,127.31465803653498,0.1,99908.17659694383
gan,1.0,2.0,3.0,20000000.0,0.16876321502603286,20566065.222060483,127.31465803653498,0.1,161410.51225176427
gan,1.0,3.0,0.0,20000000.0,-0.43599683565359726,18587985.29255072,128.5346368529594,0.1,144502.17878562838
gan,1.0,3.0,1.0,20000000.0,18.20627301099698,121392688.09038267,128.5346368529594,0.1,943701.409357925
gan,1.0,3.0,2.0,20000000.0,1.7069068871993092,26223814.084904518,128.5346368529594,0.1,203862.77542712406
gan,1.0,3.0,3.0,20000000.0,1.2999794399347446,24640399.88684211,128.5346368529594,0.1,191553.38320741896
gan,1.0,4.0,0.0,20000000.0,0.2054831251942915,20690673.59029061,128.24910541423827,0.1,161206.21584009353
gan,1.0,4.0,1.0,20000000.0,19.431073321338147,129424321.30787729,128.24910541423827,0.1,1008377.2761030849
gan,1.0,4.0,2.0,20000000.0,0.3397034046419095,21150531.783971515,128.24910541423827,0.1,164789.0861078429
gan,1.0,4.0,3.0,20000000.0,2.1976165867617397,28214163.53221801,128.24910541423827,0.1,219823.60875176074
gan,1.0,5.0,0.0,20000000.0,-0.12676392863943417,19581972.05626679,126.0492580795542,0.1,155228.59471688452
gan,1.0,5.0,1.0,20000000.0,19.94296955777503,132789103.59695971,126.0492580795542,0.1,1052634.8360544315
gan,1.0,5.0,2.0,20000000.0,-0.17799810464228463,19414761.332725424,126.0492580795542,0.1,153903.09565262593
gan,1.0,5.0,3.0,20000000.0,2.978836598023264,31560059.73181769,126.0492580795542,0.1,250180.3039690871
