interference_source,factor,screenshot,pack_v3_page,source_title,source_url,quote_excerpt
cellular_5g,power_range,tr138913_p27_power_46dBm_23dBm.png,11,ETSI TR 138 913 (3GPP TR 38.913) – 5G requirements & deployment scenarios,https://www.etsi.org/deliver/etsi_tr/138900_138999/138913/18.00.00_60/tr_138913v180000p.pdf,Table shows DL Tx power 46 dBm and UE Tx power 23 dBm.
cellular_ue_ul,power_range,tr138913_p27_power_46dBm_23dBm.png,11,ETSI TR 138 913 (3GPP TR 38.913),https://www.etsi.org/deliver/etsi_tr/138900_138999/138913/18.00.00_60/tr_138913v180000p.pdf,UE Tx power 23 dBm (Table 7.10.1-1).
cellular_5g,coverage_radius,tr138913_p12_isd200m.png,9,ETSI TR 138 913 (3GPP TR 38.913),https://www.etsi.org/deliver/etsi_tr/138900_138999/138913/18.00.00_60/tr_138913v180000p.pdf,Dense urban macro layer inter-site distance listed as 200 m (Table 6.1.2-1).
cellular_5g,coverage_radius,tr138913_p15_isd1732m.png,10,ETSI TR 138 913 (3GPP TR 38.913),https://www.etsi.org/deliver/etsi_tr/138900_138999/138913/18.00.00_60/tr_138913v180000p.pdf,High-speed scenario lists ISD 1732 m between sites (Table 6.4.1-1).
cellular_4g,activity,springer_full_buffer_definition.png,8,"Ahmad et al., EURASIP Journal on Wireless Communications and Networking (2012) – full/finite buffer traffic models",https://link.springer.com/content/pdf/10.1186/1687-1499-2012-61.pdf,Full buffer model: user buffers always have unlimited data to transmit (Section 4.1).
cellular_5g,activity,springer_full_buffer_definition.png,8,"Ahmad et al., EURASIP JWCN (2012)",https://link.springer.com/content/pdf/10.1186/1687-1499-2012-61.pdf,Full buffer model definition (buffers always have unlimited data to transmit).
cellular_ue_ul,activity,springer_full_buffer_definition.png,8,"Ahmad et al., EURASIP JWCN (2012)",https://link.springer.com/content/pdf/10.1186/1687-1499-2012-61.pdf,Full buffer model definition (activity ~1 in simulations).
gnss_jammer,coverage_radius,gpsworld_jammer_table4_ranges.png,3,"Shepard et al., 'Characterization of GPS Jammers' (GPS World, UT Austin RNL PDF)",https://rnl.ae.utexas.edu/images/stories/files/papers/jammerCharacterizationGPSWorld_Mitch.pdf,TABLE 4 'Ranges of jammer effectiveness' (see table for numeric ranges).
gnss_jammer,coverage_radius,gpsworld_jammer_max_effective_range_results.png,2,"Shepard et al., 'Characterization of GPS Jammers' (GPS World)",https://rnl.ae.utexas.edu/images/stories/files/papers/jammerCharacterizationGPSWorld_Mitch.pdf,Section 'Maximum Effective Range Results' (numeric ranges shown on page).
industrial_device,activity,cfr15_247_dwell_time_0_4s.png,1,47 CFR §15.247 (FHSS/DTS/Hybrid) – time of occupancy limit,https://www.ecfr.gov/current/title-47/chapter-I/subchapter-A/part-15/subpart-C/section-15.247,Average time of occupancy on any frequency not to exceed 0.4 seconds ... (§15.247(f)).
industrial_device,frequency,lora_rp002_eu863_txpower_eirp.png,4,LoRa Alliance – LoRaWAN Regional Parameters (RP002),https://lora-alliance.org/wp-content/uploads/2019/11/rp_2-1.0.0_final_release.pdf,EU863-870 band section (Data Rate and End-device Output Power encoding).
industrial_device,power_range,lora_rp002_eu863_txpower_eirp.png,4,LoRa Alliance – LoRaWAN Regional Parameters (RP002),https://lora-alliance.org/wp-content/uploads/2019/11/rp_2-1.0.0_final_release.pdf,"By default, Max EIRP is +16 dBm (EU863-870)."
industrial_device,activity,lora_rp002_eu863_txpower_eirp.png,4,LoRa Alliance – LoRaWAN Regional Parameters (RP002),https://lora-alliance.org/wp-content/uploads/2019/11/rp_2-1.0.0_final_release.pdf,EU863-870: 'There is no dwell time limitation...' (duty-cycle defined by regional regs).
industrial_device,coverage_radius,nature_lora_deployment_area_2_6km2.png,6,Nature Scientific Data (2025) – LoRaWAN data set with ground & aerial gateways,https://www.nature.com/articles/s41597-025-05802-2.pdf,Experiment area reported as 2.6 km^2.
industrial_device,height_distribution,nature_lora_aerial_gateway_heights_50_100_150m.png,5,Nature Scientific Data (2025) – LoRaWAN ground vs UAV gateway heights,https://www.nature.com/articles/s41597-025-05802-2.pdf,"Aerial gateway heights of 50 m, 100 m, 150 m evaluated."
industrial_device,height_distribution,nature_lora_height_advantage_area_statement.png,7,Nature Scientific Data (2025) – LoRaWAN gateway altitude statement,https://www.nature.com/articles/s41597-025-05802-2.pdf,Mentions aerial gateway (altitude 150 m) connecting devices within 2.6 km^2 area.
