interference_source,factor,evidence_screenshots
wifi_2_4g,frequency,fcc_15_247_24ghz_band.png; wifi_variability_band_and_4s.png
wifi_2_4g,power_range,fcc_15_247_1watt.png
wifi_2_4g,coverage_radius,wifi_ap_nominal_range_100m.png
wifi_2_4g,path_loss_factor,a2g_fspl_formula.png; itu_p1238_N.png; itu_p1238_model.png; stochastic_sir_alpha.png
wifi_2_4g,activity,uav_rc_wifi_beacon_102_4ms.png; wifi_variability_band_and_4s.png
wifi_2_4g,background_PPP,stochastic_ppp_3d.png; wifi_ap_table2_grove_park_46.png; wifi_ap_table2_manhattan_1854.png
wifi_2_4g,power_calibration_generation,a2g_fspl_formula.png
wifi_2_4g,height_distribution,stochastic_ppp_3d.png
wifi_5_8g,frequency,fcc_15_247_58ghz_band.png
wifi_5_8g,power_range,fcc_15_247_1watt.png
wifi_5_8g,coverage_radius,wifi_ap_nominal_range_100m.png
wifi_5_8g,path_loss_factor,a2g_fspl_formula.png; itu_p1238_N.png; itu_p1238_model.png; stochastic_sir_alpha.png
wifi_5_8g,activity,uav_rc_wifi_beacon_102_4ms.png
wifi_5_8g,background_PPP,stochastic_ppp_3d.png; wifi_ap_table2_grove_park_46.png; wifi_ap_table2_manhattan_1854.png
wifi_5_8g,power_calibration_generation,a2g_fspl_formula.png
wifi_5_8g,height_distribution,stochastic_ppp_3d.png
cellular_4g,frequency,3gpp_tr36777_table_params.png; emf_table_II.png
cellular_4g,power_range,3gpp_tr36777_table_params.png; emf_table_II.png
cellular_4g,coverage_radius,3gpp_tr36777_table_params.png
cellular_4g,path_loss_factor,a2g_fspl_formula.png; emf_table_II.png; stochastic_sir_alpha.png
cellular_4g,activity,springer_full_buffer_definition.png
cellular_4g,background_PPP,emf_table_II.png; stochastic_ppp_3d.png
cellular_4g,power_calibration_generation,a2g_fspl_formula.png
cellular_4g,height_distribution,3gpp_tr36777_table_params.png; stochastic_ppp_3d.png
cellular_5g,frequency,dominance_n78_midband.png; joint_emf_f_3_6ghz.png
cellular_5g,power_range,tr138913_p27_power_46dBm_23dBm.png
cellular_5g,coverage_radius,tr138913_p12_isd200m.png; tr138913_p15_isd1732m.png
cellular_5g,path_loss_factor,a2g_fspl_formula.png; stochastic_sir_alpha.png
cellular_5g,activity,springer_full_buffer_definition.png
cellular_5g,background_PPP,stochastic_ppp_3d.png
cellular_5g,power_calibration_generation,a2g_fspl_formula.png
cellular_5g,height_distribution,dominance_rooftop_4g5g.png; stochastic_ppp_3d.png
cellular_ue_ul,frequency,emf_table_II.png
cellular_ue_ul,power_range,emf_table_II.png; tr138913_p27_power_46dBm_23dBm.png
cellular_ue_ul,coverage_radius,MISSING
cellular_ue_ul,path_loss_factor,a2g_fspl_formula.png; emf_table_II.png; stochastic_sir_alpha.png
cellular_ue_ul,activity,springer_full_buffer_definition.png
cellular_ue_ul,background_PPP,emf_table_II.png; stochastic_ppp_3d.png
cellular_ue_ul,power_calibration_generation,a2g_fspl_formula.png; emf_ul_power_control.png
cellular_ue_ul,height_distribution,3gpp_tr36777_aerial_ue_height.png; stochastic_ppp_3d.png
gnss_jammer,frequency,isgps_l1_1575_42.png
gnss_jammer,power_range,jammertest23_power_settings.png
gnss_jammer,coverage_radius,gpsworld_jammer_max_effective_range_results.png; gpsworld_jammer_table4_ranges.png
gnss_jammer,path_loss_factor,a2g_fspl_formula.png; stochastic_sir_alpha.png
gnss_jammer,activity,jammertest23_power_settings.png
gnss_jammer,background_PPP,stochastic_ppp_3d.png
gnss_jammer,power_calibration_generation,a2g_fspl_formula.png
gnss_jammer,height_distribution,stochastic_ppp_3d.png
industrial_device,frequency,fcc_15_247_902_928_band.png; lora_rp002_eu863_txpower_eirp.png
industrial_device,power_range,fcc_15_247_1watt.png; lora_rp002_eu863_txpower_eirp.png
industrial_device,coverage_radius,nature_lora_deployment_area_2_6km2.png
industrial_device,path_loss_factor,a2g_fspl_formula.png; itu_p1238_N.png; itu_p1238_model.png; stochastic_sir_alpha.png
industrial_device,activity,cfr15_247_dwell_time_0_4s.png; lora_rp002_eu863_txpower_eirp.png
industrial_device,background_PPP,stochastic_ppp_3d.png
industrial_device,power_calibration_generation,a2g_fspl_formula.png
industrial_device,height_distribution,nature_lora_aerial_gateway_heights_50_100_150m.png; nature_lora_height_advantage_area_statement.png; stochastic_ppp_3d.png
satellite_ground,frequency,ku_buc_14ghz_power.png
satellite_ground,power_range,ku_buc_14ghz_power.png
satellite_ground,coverage_radius,MISSING
satellite_ground,path_loss_factor,a2g_fspl_formula.png; stochastic_sir_alpha.png
satellite_ground,activity,MISSING
satellite_ground,background_PPP,stochastic_ppp_3d.png
satellite_ground,power_calibration_generation,a2g_fspl_formula.png
satellite_ground,height_distribution,stochastic_ppp_3d.png
