index,value
0,45.1404070854187
1,9.381311416625977
2,343.0990214954615
3,288.535177424481
4,4.0
5,3.0
6,3.0
7,4.0
8,4.0
9,5.0
10,3.0
11,3.0
12,41.40643835067749
13,36.857794523239136
14,32.4493345618248
15,28.137157261371613
16,39.530794620513916
17,38.46384346485138
18,31.029081344604492
19,37.830021381378174
20,0.0
21,0.0
22,1.0
23,1.0
24,1.0
25,1.0
26,0.0
27,1.0
28,275.5591013201026
29,381.63936166193207
30,269.10603137424215
31,323.13007652228504
32,280.25934332364415
33,270.94369665875865
34,318.9066706640303
35,279.30515720101744
36,326.698383215113
37,341.6834508914307
38,288.01457379895595
39,249.61036242427025
40,204.50620315334905
41,323.53471926410975
42,277.9424378938781
43,360.56332882803883
