index,value
0,40.30067156541384
1,13.284257694298585
2,74.53374664009648
3,129.36416471369606
4,1.0
5,0.0
6,5.0
7,3.0
8,5.0
9,2.0
10,6.0
11,3.0
12,19.00091780851757
13,9.318662919598493
14,4.478860219931332
15,20.405211625037527
16,35.69507926129084
17,36.079272740940894
18,38.07688432981578
19,42.0844743882102
20,1.0
21,1.0
22,1.0
23,1.0
24,0.0
25,1.0
26,0.0
27,0.0
28,402.4144209220883
29,219.1710024423978
30,589.705191956391
31,286.8466495163967
32,248.3360084853016
33,584.9246945065709
34,548.7392919359355
35,93.13725735505011
36,20.057520255849674
37,250.58614452717674
38,230.12722243757625
39,306.7607267927543
40,336.02216878187556
41,62.11163440631099
42,390.45744935071855
43,171.37816350597942
