index,value
0,32.32147216796875
1,17.47540283203125
2,280.92468770994753
3,527.2022471130851
4,-0.0
5,1.0
6,-0.0
7,4.0
8,5.0
9,1.0
10,4.0
11,1.0
12,16.05804443359375
13,57.18048095703125
14,22.2381591796875
15,48.36212158203125
16,31.34490966796875
17,37.62115478515625
18,50.27191162109375
19,51.42333984375
20,1.0
21,0.0
22,1.0
23,0.0
24,0.0
25,-0.0
26,1.0
27,0.0
28,394.23522576904924
29,531.1747680438822
30,6.014996315027558
31,11.374151910348061
32,313.6979853890229
33,268.1076862162439
34,46.1524483610993
35,330.89975055162506
36,387.0584544648263
37,335.28451422052365
38,499.881796560717
39,434.9348270034413
40,122.47356982872311
41,551.1498025355314
42,435.9092189298632
43,484.14161928774774
