index,value
0,45.15380859375
1,13.3857421875
2,489.0694588072835
3,315.52928928122253
4,5.0
5,-0.0
6,5.0
7,3.0
8,2.0
9,5.0
10,2.0
11,3.0
12,69.384765625
13,15.6756591796875
14,11.60186767578125
15,69.86968994140625
16,20.62530517578125
17,15.594482421875
18,62.2412109375
19,22.82989501953125
20,1.0
21,1.0
22,-0.0
23,0.0
24,1.0
25,1.0
26,1.0
27,1.0
28,26.96590614725474
29,92.13507863413936
30,378.819304545302
31,332.81753573103043
32,175.0247037320771
33,330.487380774752
34,431.56724778944414
35,508.5751107800016
36,585.7520979206115
37,316.76953304827396
38,113.78296984085537
39,38.50393149527872
40,220.42514223505094
41,246.26355404862255
42,521.1466726005684
43,135.1114043196945
