x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
273.67210611947144,68.41802652986786,29.936,-15.112027973618126,-15.112027973618126,4378891.482495135,1.0,-37.25231389383386,-52.36429584037457,23237.266650744805
239.46309285453748,68.41802652986786,29.936,-14.784857877698045,-14.784857877698045,4715971.490467678,1.0,-38.913870736903476,-53.69866113569893,25026.033981290744
250.86609727618213,79.8210309515125,29.936,-13.442385149698964,-13.442385149698964,6386859.725878761,1.0,-39.52841522457359,-52.970722638316005,33892.861493471035
250.86609727618213,57.01502210822321,29.936,-12.982947099222962,-12.982947099222962,7082331.484297655,1.0,-40.560300501489536,-53.543149016032245,37583.49022063775
239.46309285453748,79.8210309515125,29.936,-12.441084994274618,-12.441084994274618,7997835.852506442,1.0,-40.98807092333543,-53.4290471283647,42441.75611031155
273.67210611947144,45.61201768657857,29.936,-12.17319882689361,-12.17319882689361,8492004.602407819,1.0,-40.831868392670046,-53.004962273560494,45064.139208369124
239.46309285453748,57.01502210822321,29.936,-12.041456073833807,-12.041456073833807,8745783.412454266,1.0,-41.939286914114405,-53.9806075606447,46410.85581528485
262.2691016978268,68.41802652986786,29.936,-11.475126671856714,-11.475126671856714,9922948.628022434,1.0,-41.33049366503212,-52.80550262297706,52657.6655650785
250.86609727618213,34.20901326493393,29.936,-10.847016904658112,-10.847016904658112,11407480.843651228,1.0,-43.31484033210809,-54.161671345472485,60535.56596158042
228.06008843289283,45.61201768657857,29.936,-10.827076698404966,-10.827076698404966,11457946.935617674,1.0,-43.875954396642804,-54.70281956640906,60803.37210396445
273.67210611947144,34.20901326493393,29.936,-10.521681306195617,-10.521681306195617,12258163.29382258,1.0,-42.820415068315185,-53.341930485535826,65049.84429178395
285.07511054111603,45.61201768657857,29.936,-10.404206810525295,-10.404206810525295,12580023.558889763,1.0,-42.187486532591265,-52.59154995082842,66757.84569660157
228.06008843289283,68.41802652986786,29.936,-10.334788696984191,-10.334788696984191,12774003.238352954,1.0,-43.813989820090256,-54.14856998499852,67787.2289445152
250.86609727618213,68.41802652986786,29.936,-10.20862116951497,-10.20862116951497,13133907.670043943,1.0,-43.0421869349782,-53.250633524578944,69697.11761871976
228.06008843289283,57.01502210822321,29.936,-9.647960104131819,-9.647960104131819,14853538.517020434,1.0,-44.772473919724334,-54.42017399670263,78822.60535728995
239.46309285453748,45.61201768657857,29.936,-9.542730954333685,-9.542730954333685,15199293.331975743,1.0,-44.73137624082405,-54.27384961698593,80657.4068962213
285.07511054111603,68.41802652986786,29.936,-9.342673949241501,-9.342673949241501,15877771.84581459,1.0,-42.58552507543905,-51.92804186940623,84257.85833602057
216.6570840112482,68.41802652986786,29.936,-9.1807284859769,-9.1807284859769,16447882.049263874,1.0,-45.418941312585545,-54.59936803739279,87283.23653295013
262.2691016978268,34.20901326493393,29.936,-9.119071325083603,-9.119071325083603,16669977.681988638,1.0,-44.63069019884175,-53.749509848537045,88461.8214465572
262.2691016978268,22.806008843289284,29.936,-9.11397324683277,-9.11397324683277,16688467.603078427,1.0,-44.97093495823046,-54.08463602005692,88559.94107990098
193.85107516795892,11.403004421644642,29.936,-9.086993931345631,-9.086993931345631,16786639.781544533,1.0,-47.716277727602034,-56.80275952156582,89080.90696768808
273.67210611947144,0.0,29.936,-8.903282030443165,-8.903282030443165,17469740.440892085,1.0,-45.50276821612789,-54.405742604482754,92705.88653934759
273.67210611947144,22.806008843289284,29.936,-8.850815361594044,-8.850815361594044,17669580.020893946,1.0,-44.83791301125416,-53.688464398082175,93766.36625811651
216.6570840112482,11.403004421644642,29.936,-8.819436557157886,-8.819436557157886,17790123.239873998,1.0,-47.18602012514161,-56.00500340532355,94406.04754128512
250.86609727618213,45.61201768657857,29.936,-8.625441402391004,-8.625441402391004,18552678.718461387,1.0,-45.22203528855363,-53.84718830544429,98452.66643164972
