group,scenario_idx,drone_idx,station_idx,bandwidth_hz,sinr_db,rate_bps,p_prop_w,p_tx_w,ee_bpj
ga,0.0,0.0,0.0,20000000.0,-6.436264117092392,5906980.47843006,132.13107399093246,0.1,44671.6516787508
ga,0.0,0.0,1.0,20000000.0,-3.8226005426364367,10010038.086109556,132.13107399093246,0.1,75701.10250179152
ga,0.0,0.0,2.0,20000000.0,-3.3428394339956498,10981435.581816072,132.13107399093246,0.1,83047.31445022603
ga,0.0,0.0,3.0,20000000.0,-0.5129270201285436,18346374.427686814,132.13107399093246,0.1,138744.80387979673
ga,0.0,1.0,0.0,20000000.0,3.5111783439010225,33959841.72323699,155.57714763088597,0.1,218142.75402679233
ga,0.0,1.0,1.0,20000000.0,-4.766352105488139,8308826.393260381,155.57714763088597,0.1,53372.16489192618
ga,0.0,1.0,2.0,20000000.0,-4.722267881242587,8382389.533048683,155.57714763088597,0.1,53844.70142607904
ga,0.0,1.0,3.0,20000000.0,-5.886304780987686,6619230.288148067,155.57714763088597,0.1,42518.959197803466
ga,0.0,2.0,0.0,20000000.0,-5.764396197120789,6787126.238196387,126.25193304193542,0.1,53716.04592660868
ga,0.0,2.0,1.0,20000000.0,-5.218865369646835,7585458.351839092,126.25193304193542,0.1,60034.36725674411
ga,0.0,2.0,2.0,20000000.0,-0.317607564598063,18964216.00539245,126.25193304193542,0.1,150090.4303466283
ga,0.0,2.0,3.0,20000000.0,-2.8622654225203235,12030828.994206421,126.25193304193542,0.1,95216.81785599169
ga,0.0,3.0,0.0,20000000.0,-1.6425227889621117,15056515.450745316,142.2729526232851,0.1,105754.04368120707
ga,0.0,3.0,1.0,20000000.0,2.6427596092983947,30094499.426917557,142.2729526232851,0.1,211377.92587997223
ga,0.0,3.0,2.0,20000000.0,-7.359634652649021,4865321.012742392,142.2729526232851,0.1,34173.07095973416
ga,0.0,3.0,3.0,20000000.0,-2.0347283653849497,14025338.660069304,142.2729526232851,0.1,98511.25794363457
ga,0.0,4.0,0.0,20000000.0,-0.6728543218293338,17851313.98275203,152.62419794253708,0.1,116885.95666725084
ga,0.0,4.0,1.0,20000000.0,-1.0616486660091198,16688274.867039548,152.62419794253708,0.1,109270.66628510671
ga,0.0,4.0,2.0,20000000.0,1.56155417206898,25651174.484921288,152.62419794253708,0.1,167957.50005884867
ga,0.0,4.0,3.0,20000000.0,1.1993998936860348,24258539.852029562,152.62419794253708,0.1,158838.87542926832
ga,0.0,5.0,0.0,20000000.0,-4.111109011904574,9461216.953730164,126.1315691191843,0.1,74951.27423154464
ga,0.0,5.0,1.0,20000000.0,0.4746002270814248,21619639.083933834,126.1315691191843,0.1,171269.66918648678
ga,0.0,5.0,2.0,20000000.0,-2.600330438258709,12636037.649454754,126.1315691191843,0.1,100102.04054046229
ga,0.0,5.0,3.0,20000000.0,6.650829369824379,49835488.66566253,126.1315691191843,0.1,394794.1787732137
ga,1.0,0.0,0.0,20000000.0,-5.2902068373092135,7476575.3264495935,148.02663745954914,0.1,50474.212165190875
ga,1.0,0.0,1.0,20000000.0,-3.6573766076136707,10336173.310532277,148.02663745954914,0.1,69779.3016016779
ga,1.0,0.0,2.0,20000000.0,-1.1404369083778503,16459546.535520442,148.02663745954914,0.1,111118.07314207929
ga,1.0,0.0,3.0,20000000.0,-0.5890986090575864,18109368.34053366,148.02663745954914,0.1,122255.98751932124
ga,1.0,1.0,0.0,20000000.0,-5.7551368687299345,6800031.582160087,160.00595248051212,0.1,42472.07225470132
ga,1.0,1.0,1.0,20000000.0,20.083067111728568,133710702.79972893,160.00595248051212,0.1,835138.8610364378
ga,1.0,1.0,2.0,20000000.0,-8.080547827525052,4172266.3236201312,160.00595248051212,0.1,26059.40790444986
ga,1.0,1.0,3.0,20000000.0,17.444947611349747,116416747.87187786,160.00595248051212,0.1,727123.1710516694
ga,1.0,2.0,0.0,20000000.0,-3.30703008692079,11056956.77225674,149.1219590517444,0.1,74097.38380678017
ga,1.0,2.0,1.0,20000000.0,-1.7831297765486482,14680359.350856323,149.1219590517444,0.1,98379.35009126735
ga,1.0,2.0,2.0,20000000.0,19.798605591410436,131839750.83191636,149.1219590517444,0.1,883514.408132113
ga,1.0,2.0,3.0,20000000.0,1.8520213582097111,26803271.70545482,149.1219590517444,0.1,179620.1569513002
ga,1.0,3.0,0.0,20000000.0,-3.306276685474728,11058550.248378908,130.9601122089378,0.1,84377.69556269888
ga,1.0,3.0,1.0,20000000.0,3.601847357987367,34377904.694077045,130.9601122089378,0.1,262306.3883790312
ga,1.0,3.0,2.0,20000000.0,-7.25575783372048,4973497.991378441,130.9601122089378,0.1,37948.22015297548
ga,1.0,3.0,3.0,20000000.0,-1.2690285463323792,16091245.04296348,130.9601122089378,0.1,122777.59244788835
ga,1.0,4.0,0.0,20000000.0,-5.556820788819564,7081704.958876354,154.43080401931834,0.1,45827.141092147875
ga,1.0,4.0,1.0,20000000.0,-1.6607232998179742,15007414.698783053,154.43080401931834,0.1,97116.00734897447
ga,1.0,4.0,2.0,20000000.0,-3.4776765416348923,10700863.779208558,154.43080401931834,0.1,69247.44776368867
ga,1.0,4.0,3.0,20000000.0,2.7960212024998583,30758005.39712891,154.43080401931834,0.1,199041.25648167703
ga,1.0,5.0,0.0,20000000.0,-7.072521255795962,5169705.041193469,128.2182657146267,0.1,40288.14613728205
ga,1.0,5.0,1.0,20000000.0,-5.17078093754732,7659625.880282527,128.2182657146267,0.1,59692.40495594871
ga,1.0,5.0,2.0,20000000.0,-3.578677434416008,10494599.108875347,128.2182657146267,0.1,81785.69941254352
ga,1.0,5.0,3.0,20000000.0,-2.501425682676725,12870784.521686021,128.2182657146267,0.1,100303.60408945981
ga,2.0,0.0,0.0,20000000.0,-6.956851725592259,5297176.189693103,135.30293626695877,0.1,39121.57546753089
ga,2.0,0.0,1.0,20000000.0,-3.6630293681033663,10324870.910208086,135.30293626695877,0.1,76252.93213621082
ga,2.0,0.0,2.0,20000000.0,-6.085794969452422,6352451.202778399,135.30293626695877,0.1,46915.165785282414
ga,2.0,0.0,3.0,20000000.0,-0.7695133118844238,17556818.64543314,135.30293626695877,0.1,129663.50013871436
ga,2.0,1.0,0.0,20000000.0,-8.49836209913937,3813739.219406721,167.94320578579948,0.1,22694.99205024689
ga,2.0,1.0,1.0,20000000.0,-6.776212978553616,5501979.301381247,167.94320578579948,0.1,32741.45643468909
ga,2.0,1.0,2.0,20000000.0,-4.94241652283452,8020562.38318527,167.94320578579948,0.1,47729.16789869436
ga,2.0,1.0,3.0,20000000.0,-4.146967554332406,9394811.398552548,167.94320578579948,0.1,55907.11837840015
ga,2.0,2.0,0.0,20000000.0,-15.249114391015198,848962.1987282247,141.21934469931082,0.1,6007.40259965531
ga,2.0,2.0,1.0,20000000.0,-16.06500258127427,705318.7213749014,141.21934469931082,0.1,4990.956637080564
ga,2.0,2.0,2.0,20000000.0,13.207517236167561,89095568.18229963,141.21934469931082,0.1,630455.5711878709
ga,2.0,2.0,3.0,20000000.0,-14.043427499485333,1115424.8966197106,141.21934469931082,0.1,7892.938500337882
ga,2.0,3.0,0.0,20000000.0,15.13102795889209,101400386.16908951,127.891405421419,0.1,792243.7122650773
ga,2.0,3.0,1.0,20000000.0,-7.1801039693363435,5053666.106382021,127.891405421419,0.1,39484.417643063905
ga,2.0,3.0,2.0,20000000.0,26.56373430005449,176549215.23358667,127.891405421419,0.1,1379383.3629085354
ga,2.0,3.0,3.0,20000000.0,-6.102328965878925,6330777.090735685,127.891405421419,0.1,49462.5171892694
ga,2.0,4.0,0.0,20000000.0,-22.456027337026313,163444.82534803663,144.39188743874493,0.1,1131.169564224334
ga,2.0,4.0,1.0,20000000.0,-23.324259139874442,133896.91048668712,144.39188743874493,0.1,926.674243517309
ga,2.0,4.0,2.0,20000000.0,-12.504961932385385,1576839.1804266183,144.39188743874493,0.1,10912.994551995831
ga,2.0,4.0,3.0,20000000.0,-21.156849075166576,220222.27016952084,144.39188743874493,0.1,1524.1151186628426
ga,2.0,5.0,0.0,20000000.0,-7.942490463152012,4297466.442655686,147.6097874842624,0.1,29093.985685366693
ga,2.0,5.0,1.0,20000000.0,-5.490392728306858,7178331.777473599,147.6097874842624,0.1,48597.53642417506
ga,2.0,5.0,2.0,20000000.0,-5.202090289525415,7611261.374700257,147.6097874842624,0.1,51528.48368637178
ga,2.0,5.0,3.0,20000000.0,-2.888850106661067,11970730.053020578,147.6097874842624,0.1,81042.22649630437
ga,3.0,0.0,0.0,20000000.0,-4.871146671165036,8136189.800481417,128.29998495354388,0.1,63365.97160369726
ga,3.0,0.0,1.0,20000000.0,3.7292152255641327,34969668.89474188,128.29998495354388,0.1,272349.47813579714
ga,3.0,0.0,2.0,20000000.0,-7.3903070419189305,4833794.312986571,128.29998495354388,0.1,37646.37756566308
ga,3.0,0.0,3.0,20000000.0,0.018845202070081765,20062670.31831378,128.29998495354388,0.1,156251.34477681297
